City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
670,Ashqelon,IL,79.09,overcast clouds,31.6693,34.5715,Leonardo Ashkelon
672,Wahiawa,US,80.35,few clouds,21.5028,-158.0236,Aloha Wahiawa
675,Beruwala,LK,78.01,moderate rain,6.4788,79.9828,The Palms Hotel
676,Pontianak,ID,76.98,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
677,Pochutla,MX,77.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
687,Kailua,US,83.61,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
688,Puerto Escondido,MX,79.93,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
689,Martapura,ID,80.69,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
691,Buluang,PH,84.96,scattered clouds,13.3068,123.3425,Enon Beach Resort
695,Maumere,ID,85.73,broken clouds,-8.6199,122.2111,Sylvia Hotel
